Society,Culture Region,Description,Age of doll,Gender of doll,Clothes,Hair,Face,Materials,Use,Type of Magic,Type of Play,User age,User gender,Maker age,Maker gender,Age at alloparenting,Age at marriage,Source,Children Do Childcare
Ovimbundu,Southern Africa,"""The girl of this age has already been performing useful tasks for several years in helping to care for the younger siblings or younger cousins, but the eagerness with which a girl takes up the care of a younger child makes it evident that she considers that activity rather in the nature of play. If there is no baby for whom she is expected to be responsible, she may borrow one from a neighbour. It seems almost more natural for her to carry a baby than to carry a doll (made of an ear of maize). This she will do only if she lacks a baby."" pg 106",Infant,NA,NA,NA,NA,Corn,Play,,Caregiving,Child,Girl,Child,Girl,,," (1949) Umbundu kinship & character: being a description of social structure and individual development of the Ovimbundu of Angola, with observations concerning the bearing on the enterprise of Christian missions of certain phases of the life and culture described
Section: Later Childhood
By: Childs, Gladwyn Murray",
Comanche,Plains and Plateau,"""As soon as she was large enough to walk, the girl followed her mother everywhere about the camp. She imitated her in all things, playing at the tasks which her mother performed. She was given a doll, dressed usually in deer skin, which she took everywhere with her. She might be lucky enough to have a toy cradle and carry her doll on her back in the fashion of her mother. As she grew older, she learned to dress and undress her doll and to make for it the necessary articles of clothing."" pg 124",Infant,,Yes,,,Skin,Play,,Caregiving,Child,Girl,,,,," (1952) The Comanches: lords of the south Plains
Section: VI From Cradle to Grave
By: Wallace, Ernest ",
Gros Ventre,Plains and Plateau,"""He had an old-fashioned doll which he wrapped up like a sack-baby and, one night without letting her know what he was doing, he raised up the covers on his third wife's bed and put this doll under her. He did the same with the Assiniboine woman and said: ‘She will have a boy, too.’ As he had predicted, each bore him a son, and these two are the only children Crow Bull had. He later gave this doll to one of his niece's daughters, having ‘sterilized’ the doll first, however, so that the girl was not affected and subsequently gave birth to five children.”"" pg 130",,,,,,,Magic,Fertility,,,,,,,,"1953) The Gros Ventres of Montana: part 1, Social life
Section: CONCEPTION AND CONTRACEPTION
By: Flannery, Regina ",
Hidatsa,Plains and Plateau,"""While boys of 6 or 7 years of age were gaining proficiency in the use of bows and arrows, the girls would play “kick ball” or learn to sew clothing for their dolls. The women would encourage the little girls to care for their younger sisters and encourage the boys to protect and look after their younger brothers."" pg 131",,,Yes,,,,Play,,,Child,Girl,,,,," (1965) Hidatsa social and ceremonial organization
Section: TRAINING AND CEREMONIAL PARTICIPATION
By: Bowers, Alfred W",
Klamath,Plains and Plateau,"""One of the most important activities in which young girls engage is playing with dolls. 14 Dolls are described briefly by Spier, ibid. Through their use the girl is encouraged in many of her future activities of housekeeping. A few boys like to play with dolls too, but they are teased about this girlish activity and soon cease. It is the girl’s mother or grandmother who first shows her how to make dolls and play with them. They are fashioned from any available material; wood, bark, tules, and clay are all utilized. In lieu of anything better they may even be outlined in the sand. Once the technique has been learned, the girls manufacture their own dolls and play with them alone or in groups. They make little shelters of willow for the dolls, pretend to dig up roots for them, and in every way treat them as actual children. Often the dolls are placed on a piece of bark to represent the cradleboard. Apparently much of this play is spontaneous on the part of the girls, but there is also considerable suggestion and encouragement on the part of mother and grandmother."" pg 343",,,,,,"Clay, Wood",Play,,Caregiving,Child,Mixed,"Child, Adult","Girl, Woman",,," (1950) Klamath childhood and education
Section: EARLY CHILDHOOD
By: Pearsall, Marion,",
Kutenai,Plains and Plateau,"""The training of little girls was milder than that of their brothers. The child was given a toy cradle-board and a doll as soon as she could walk. She was encouraged to play all day with the doll so that she would understand child care and be of assistance to her mother when the next child came, and would be able to care for her own in proper time. Little girls were anything but despised and unwanted. They took a real burden from their mother's shoulders by caring for their infant siblings. A girl was supposed to be able to cook a very fair meal at the age of eight, receiving lavish praise from both her parents to encourage her in the learning process. So the time came in this process of “playing-house” when the little girl “realized all of a sudden that she could do anything.”"" pg 117",,,,,,,Play,,Caregiving,Child,Girl,,,,," (1941) Ethnography of the Kutenai
Section: CHILDHOOD AND YOUTH
By: Turney-High, Harry Holbert",
Kutenai (2),Plains and Plateau,"""There he sits before the doll, drumming, rattling, and singing to it for an indefinite length of time, sometimes as long as three months. During this time the Sun Dance Chief eats and sleeps as little as possible. Meanwhile the Sun Dance spirit enters the doll and talks to the chief and, when the proper time comes, tells the chief when to begin erecting the lodge."" pg 179",,,,,,,Magic,Spirits,,,,Adult,,,," (1941) Ethnography of the Kutenai
Section: THE SUN DANCE
By: Turney-High, Harry Holbert,",
Omaha,Plains and Plateau,"""hildren's games. —Children play in the mud, making lodges, etc.; hence the verb “□i'-gaxe,” to make (mud) lodges, to play as children do. The girls used to make dolls of sticks, and place them in small u¢uhe. Now, some of them make rag dolls."" pg 341",,,,,,"Wood, Cloth",Play,,,Child,Girl,,,,," (1884) Omaha sociology
Section: GAMES.
By: Dorsey, James Owen",
Marquesas,Polynesia,"""In religion these people are mere children; their morais are their baby houses, and their gods are their dolls. I have seen Gattanewa with all his sons, and many others, sitting for hours together clapping their hands and singing before a number of little wooden gods laid out in small houses erected for the occasion, and ornamented with strips of cloth. They were such houses as a child would have made, of about two feet long and eighteen inches high and no less than ten or twelve of them in a cluster, like a small village."" pg 166",,,,,,,Magic,Spirits,,,,,,,," (1923) The native culture in the Marquesas
Section: GODS OF FISHING AND RELIGIOUS RITES
By: Handy, E. S. Craighill (Edward Smith Craighill),",
Rural Irish,British Isles,"""At the beginning of this century, a destitute woman who lived alone used to go from door to door begging for food and carrying a large “Brigid's Doll” made of straw and dressed immaculately in white with a picture of the saint on its breast. Some of the folk pulled straw from the doll to manufacture their crosses. After the woman recited the following poem, she was presented with food in honor of the saint, for which she blessed each person in the household with the doll:"" pg 103",,,Yes,,,Straw,Magic,Protection,,,,Adult,,,,"1969) Inis Beag: isle of Ireland
Section: Christian and Pagan Reinterpretations
By: Messenger, John C. (John Cowan)",
San,Southern Africa,"""For example, although she was then sixteen years old, she spent hours each day playing dolls with three other girls, ten, nine, and seven years of age. From the bush-living groups I was well acquainted with five adolescent females (both married and unmarried, and approximately the age of !Uku), but I never observed any of them playing so continuously and with such absorption with children five or six years younger."" pg 98",NA,NA,NA,NA,NA,,Play,,NA,Child,Girl,NA,NA,,,"(1975) !Kung women: contrasts in sexual egalitarianism in foraging and sedentary contexts
Section: The Effect of Sedentism on Sex Egalitarianism
By: Draper, Patricia ",
San (2),Southern Africa,"""Megan Biesele has told me that she saw !Kung girls making dolls of wound strips of cloth in Botswana in 1972. Some of them were quite elaborate and fanciful. One, she says, had protuberant buttocks, abbreviated limbs, and a stylized grace reminiscent of the rock paintings supposed to have been made by Bushmen. As the group who had these dolls were in close contact with Tswana and Herero people and also had access to cloth, doll-making of this sort may well be very recent among !Kung children. I myself saw no such dolls in South West Africa; I observed no dolls made from any material."" pg 329",NA,NA,NA,NA,NA,Cloth,Play,,NA,Child,Girl,Child,Girl,,," (1976) The !Kung of Nyae Nyae
Section: Dolls
By: Marshall, Lorna",
Santal,South Asia,"""We have evidence at our disposal which shows that in a childrens’ play named “Sakam bàhu jamai” (Bride and bride-groom of leaves), marriages are staged between dolls made of leaves. "" pg 393",Adult,Male and Female,NA,NA,NA,Leaves,Play,,Marriage,Child,,,,,," (1962) The Santals
Section: The dawn of the instinct
By: Mukherjea, Charulal ",
Saami,Scandinavia,""" Little Marja, her six-year-old first child, was the image of her. Like a little mother she played with a doll that her father had cut out of wood and her mother's skilful needle had turned into a proper Karesuando Lapp. She was very shy and, when we came, crept into a corner of the hut and did not move."" pg 93",,,Yes,,,Wood,Play,,Caregiving,Child,Girl,Adult,"Man, Woman",,," (1938) Overland with the nomad Lapps
Section: CHAPTER XII LITTLE LAPPS GROW UP
By: Bernatzik, Hugo Adolf ",
Society,Culture Region,Description,Age of doll,Gender of doll,Clothes,Hair,Face,Materials,Use,Type of Magic,Type of Play,User age,User gender,Maker age,Maker gender,Age at alloparenting,Age at marriage,Source,Children Do Childcare
