Society,SCCS.Name,Region,Subsistence,Latitude,Longitude,Fertility,Spirits,Punishment,Protection,Sex.Play,Sex.Magic,Sex.Total,Play,Magic,Complexity,Impotence,Sex.Frequency,Explanation.of.Barrenness,Sterility.Causes.Divorce,Revenge,Gossip,tree_name,Assault,Revenge.Norms
Popoluca,Popoluca,Central America,NA,18.25,-94.83,0,0,0,0,0,NA,0,1,0,19,NA,NA,NA,NA,NA,NA,Popoluca,NA,NA
Amahuaca,Amahuaca,South America,NA,10.33,-72.25,1,0,0,0,1,1,1,1,1,8,NA,NA,NA,0,1,NA,Amahuaca,NA,NA
Enxet and Enthet,Lengua,South America,NA,-23,-58.5,0,0,0,0,0,NA,0,1,0,8,NA,NA,NA,3,1,NA,Lengua,5,NA
Yokuts,Yokuts_Lake,North America,NA,35,-119.5,0,1,0,0,NA,1,1,0,1,11,NA,NA,NA,4,1,3,Yokuts_Lake,9,1
Klamath,Klamath,North America,NA,42.63,-121.67,0,0,0,0,1,NA,1,1,0,4,1,NA,1,NA,1,4,MISSING_Klamath,1,NA
Zuni,Zuni,North America,NA,35.67,-108.75,1,0,0,1,1,1,1,1,1,25,NA,NA,NA,0,1,3,Zuni,7,1
Siriono,Siriono,South America,NA,-14.5,-63.5,0,0,0,0,NA,NA,NA,0,0,4,NA,NA,NA,0,1,5,Siriono,5,NA
Guarani,Cayua,South America,NA,23.5,-55,0,0,0,0,0,NA,0,1,0,6,NA,NA,NA,NA,0,0,Cayua,2,NA
Goajiro,Goajiro,South America,NA,11.92,-71.75,0,0,0,0,1,NA,1,1,0,10,NA,NA,NA,0,1,4,Goajiro,1,4
Island Carib,Callinago,Central America,NA,15.41,-61.27,0,1,0,1,0,0,0,1,1,16,NA,NA,NA,0,NA,NA,Callinago,3,NA
Jivaro,Jivaro,South America,NA,-3,-78,0,0,0,0,NA,NA,NA,0,0,8,NA,2,NA,0,1,3.5,Jivaro,NA,4
Tehuelche,Tehuelche,South America,NA,-40.5,-68,0,0,0,0,1,NA,1,1,0,6,NA,NA,NA,NA,1,2,Tehuelche,6,NA
Barama Carib,Carib_Barama,Central America,NA,7.42,-60.17,1,0,0,0,1,1,1,1,1,8,NA,NA,NA,0,0,4,Carib_Barama,NA,NA
Tukano,Cubeo_Tucan,South America,NA,1.25,-70.5,0,0,0,0,NA,NA,NA,0,0,10,1,NA,NA,NA,1,3,Cubeo_Tucano,8,2
Hidatsa,Hidatsa,North America,NA,47,-101,0,0,0,0,1,NA,1,1,0,14,NA,NA,NA,0,1,NA,Hidatsa,3,5
Omaha,Omaha,North America,NA,41.43,-96.5,0,0,0,0,1,NA,1,1,0,15,NA,1,NA,0,1,4,MISSING_Omaha,8,3
Huron/Wendat,Huron,North America,NA,44.5,-79,0,0,0,1,NA,-1,-1,0,1,18,NA,NA,NA,0,NA,NA,MISSING_Huron,1,NA
Aymara,Aymara,South America,NA,16,-65.75,1,1,0,1,1,0,0,1,1,24,NA,NA,NA,4,1,5,Aymara,1,NA
Mapuche,Mapuche,South America,NA,-38.5,-72.58,0,0,0,0,1,NA,1,1,0,23,NA,3,NA,0,1,3,Mapuche,1,NA
